"clicks"
"32.0"
"34.0"
"40.0"
"36.0"
"39.0"
"43.0"
"48.0"
"41.0"
"42.0"
"46.0"
"45.0"
"40.0"
"49.0"
"46.0"
"44.0"
"42.0"
"44.0"
"43.0"
"44.0"
"47.0"
"50.0"
"43.0"
"47.0"
"48.0"
"50.0"
"40.0"
"42.0"
"56.0"
"54.0"
"125.0"
"36.0"
"50.0"
"61.0"
"52.0"
"51.0"
"52.0"
"57.0"
"60.0"
"52.0"
"65.0"
"58.0"
"59.0"
"51.0"
"48.0"
"55.0"
"54.0"
"54.0"
"60.0"
"55.0"
"50.0"
"53.0"
"49.0"
"46.0"
"51.0"
"54.0"
"43.0"
"47.0"
"46.0"
"44.0"
"52.0"
"51.0"
"49.0"
"57.0"
"55.0"
"42.0"
"44.0"
"48.0"
"48.0"
"50.0"
"51.0"
"41.0"
"47.0"
"59.0"
"48.0"
"49.0"
"50.0"
"54.0"
"52.0"
"59.0"
"53.0"
"53.0"
"62.0"
"44.0"
"49.0"
"49.0"
"37.0"
"48.0"
"43.0"
"45.0"
"52.0"
"49.0"
"36.0"
"30.0"
"55.0"
"53.0"
"47.0"
"52.0"
"59.0"
"57.0"
